_id,questionid,startDate,endDate,userName,ratings,feedback
66139968fc13ae1beeab8e4f,6614d0dbfc13ae602fab8ff5,2024-04-11,2024-04-17,Sherye Gellan,"['Below Average', 'Below Average', 'Very Good', 'Below Average', 'Average']",Could be better.
66139968fc13ae1beeab8e50,6614d0dbfc13ae602fab8ff7,2024-04-10,2024-04-16,Pincus Govan,"['Very Good', 'Terrible', 'Fair', 'Poor', 'Below Average']",Could be better.
66139968fc13ae1beeab8e51,6614d0dbfc13ae602fab8ff9,2024-04-10,2024-04-16,Mitchel McIndoe,"['Fair', 'Outstanding', 'Outstanding', 'Outstanding', 'Very Good']",Could be better.
66139968fc13ae1beeab8e52,6614d0dbfc13ae602fab8ffb,2024-04-09,2024-04-15,Cornie Kendal,"['Terrible', 'Terrible', 'Fair', 'Outstanding', 'Excellent']",Great job!
66139968fc13ae1beeab8e53,6614d0dbfc13ae602fab8ffd,2024-04-13,2024-04-19,Rancell Phillipps,"['Good', 'Average', 'Fair', 'Fair', 'Outstanding']",Could be better.
66139968fc13ae1beeab8e54,6614d0dbfc13ae602fab8fff,2024-04-09,2024-04-15,Angele Najara,"['Below Average', 'Average', 'Terrible', 'Good', 'Very Good']",Excellent work!
66139968fc13ae1beeab8e55,6614d0dbfc13ae602fab9001,2024-04-11,2024-04-17,Turner Tradewell,"['Good', 'Very Good', 'Poor', 'Good', 'Good']",Great job!
66139968fc13ae1beeab8e56,6614d0dbfc13ae602fab9003,2024-04-08,2024-04-14,Christophe Balaizot,"['Good', 'Poor', 'Exceptional', 'Outstanding', 'Fair']",Great job!
66139968fc13ae1beeab8e57,6614d0dbfc13ae602fab9005,2024-04-10,2024-04-16,Jaymie Moses,"['Very Good', 'Exceptional', 'Outstanding', 'Outstanding', 'Poor']",Needs improvement.
66139968fc13ae1beeab8e58,6614d0dbfc13ae602fab9007,2024-04-09,2024-04-15,Towney Humberstone,"['Excellent', 'Outstanding', 'Good', 'Terrible', 'Outstanding']",Great job!
66139968fc13ae1beeab8e59,6614d0dbfc13ae602fab9009,2024-04-08,2024-04-14,Fanchette Andover,"['Exceptional', 'Average', 'Very Good', 'Average', 'Good']",Great job!
66139968fc13ae1beeab8e5a,6614d0dbfc13ae602fab900b,2024-04-10,2024-04-16,Nicol Francescozzi,"['Excellent', 'Exceptional', 'Fair', 'Exceptional', 'Terrible']",Could be better.
66139968fc13ae1beeab8e5b,6614d0dbfc13ae602fab900d,2024-04-10,2024-04-16,Forester Elderidge,"['Very Good', 'Below Average', 'Excellent', 'Exceptional', 'Average']",Great job!
66139968fc13ae1beeab8e5c,6614d0dbfc13ae602fab900f,2024-04-09,2024-04-15,Reggy Howie,"['Below Average', 'Outstanding', 'Very Good', 'Terrible', 'Fair']",Could be better.
66139968fc13ae1beeab8e5d,6614d0dbfc13ae602fab9011,2024-04-11,2024-04-17,Turner Laise,"['Good', 'Poor', 'Fair', 'Fair', 'Poor']",Great job!
66139968fc13ae1beeab8e5e,6614d0dbfc13ae602fab9013,2024-04-12,2024-04-18,Jsandye Dike,"['Good', 'Average', 'Below Average', 'Good', 'Average']",Excellent work!
66139968fc13ae1beeab8e5f,6614d0dbfc13ae602fab9015,2024-04-09,2024-04-15,Felice Jepson,"['Terrible', 'Exceptional', 'Poor', 'Terrible', 'Outstanding']",Excellent work!
66139968fc13ae1beeab8e60,6614d0dbfc13ae602fab9017,2024-04-14,2024-04-20,Tori Liggens,"['Outstanding', 'Exceptional', 'Fair', 'Exceptional', 'Exceptional']",Excellent work!
66139968fc13ae1beeab8e61,6614d0dbfc13ae602fab9019,2024-04-09,2024-04-15,Corella Balassa,"['Below Average', 'Good', 'Good', 'Excellent', 'Very Good']",Needs improvement.
66139968fc13ae1beeab8e62,6614d0dbfc13ae602fab901b,2024-04-12,2024-04-18,Shirleen Carl,"['Average', 'Very Good', 'Terrible', 'Average', 'Very Good']",Great job!
66139968fc13ae1beeab8e63,6614d0dbfc13ae602fab901d,2024-04-10,2024-04-16,Bobbie Eyam,"['Excellent', 'Poor', 'Very Good', 'Very Good', 'Excellent']",Could be better.
