startDate,userName,endDate,totalHoursPerDay,Comment,_id,userEmail,activities,totalHours
2024-01-28T00:00:00.000Z,,2024-02-03T00:00:00.000Z,"[2, 1, 4, 1, 2, 4, 1]",,660ce798ceac06ed65e03e87,,"[{'name': 'BAU Activity', 'hours': ['2', '1', '4', '1', '2', '4', '1'], 'comment': ''}, {'name': 'Sales Activity', 'hours': [None, None, None, None, None, None], 'comment': ''}]",15
2024-01-28T00:00:00.000Z,,2024-02-03T00:00:00.000Z,"[1, 1, 0, 0, 0, 0, 0]",,660ce9baceac06ed65e03e88,,"[{'name': 'BAU Activity', 'hours': ['1', '1', None, None, None, None], 'comment': 'Hello'}, {'name': 'Sales Activity', 'hours': [None, None, None, None, None, None], 'comment': ''}]",2
2024-01-28T00:00:00.000Z,,2024-02-03T00:00:00.000Z,"[1, 1, 0, 0, 0, 0, 1]",,660ceaaeceac06ed65e03e89,,"[{'name': 'BAU Activity', 'hours': ['1', '1', None, None, None, None, '1'], 'comment': 'Hello'}, {'name': 'Sales Activity', 'hours': [None, None, None, None, None, None], 'comment': ''}]",3
2024-01-28T00:00:00.000Z,,2024-02-03T00:00:00.000Z,"[1, 1, 0, 0, 0, 0, 2]",,660ceaceceac06ed65e03e8a,,"[{'name': 'BAU Activity', 'hours': ['1', '1', None, None, None, None, '1'], 'comment': 'Hello'}, {'name': 'Sales Activity', 'hours': [None, None, None, None, None, None, '1'], 'comment': ''}]",4
2024-04-01T10:13:15.318Z,Nanda Kumar,2024-04-07T10:13:15.318Z,"[2, 7, 4, 7, 10, 7, 4]",,660e7d46befe4e7b682b3026,Nanda@example.com,"[{'name': 'BAU Activity', 'hours': ['1', '5', '2', '5', '5', '5', '2'], 'comment': 'Hello'}, {'name': 'Sales Activity', 'hours': ['1', '2', '2', '2', '5', '2', '2'], 'comment': 'hi'}]",41
2024-03-03T23:22:57Z,Sherye Gellan,2024-01-14T13:34:36Z,"[5, 8, 3, 9, 0, 6, 7]",Average,4C087EDad6E13d59EeB8AEFB,sgellan0@wikipedia.org,BAU Activity,38
2024-01-13T15:01:43Z,Pincus Govan,2024-04-13T11:16:15Z,"[5, 0, 4, 4, 0, 9, 9]",Excellent,AAA29F5Afed37aEB309b6cbf,pgovan1@ow.ly,BAU Activity,31
2024-03-29T16:07:39Z,Mitchel McIndoe,2024-03-03T06:26:15Z,"[2, 10, 0, 5, 1, 8, 4]",Excellent,a4aFe2e9eEBa1Fa7EBE9EcdC,mmcindoe2@umn.edu,Sales Activity,30
2024-01-07T18:13:20Z,Cornie Kendal,2024-05-13T05:44:39Z,"[4, 0, 7, 6, 9, 4, 4]",Very Poor,aF781fDdCeaBb33ef00fBabe,ckendal3@ucsd.edu,Sales Activity,34
2024-05-05T00:34:53Z,Rancell Phillipps,2024-04-06T13:15:52Z,"[8, 8, 10, 2, 3, 2, 0]",Good,cC1ACD9afcdEA25BcC9aca4D,rphillipps4@rediff.com,BAU Activity,33
2024-02-20T18:03:42Z,Angele Najara,2024-04-16T00:59:44Z,"[10, 2, 8, 0, 3, 5, 7]",Very Poor,aBbdc9252B0CaEdDf5aBA8cA,anajara5@amazon.com,Sales Activity,35
2024-01-15T16:15:26Z,Turner Tradewell,2024-01-23T03:09:49Z,"[8, 3, 7, 9, 6, 4, 0]",Poor,B6a2FDb2eD80D04baB6a8ddC,ttradewell6@360.cn,Sales Activity,37
2024-05-20T06:02:55Z,Christophe Balaizot,2024-05-14T16:35:58Z,"[2, 4, 5, 6, 8, 2, 6]",Average,8cEEFcfD1AE8FBaBbDfAE4A8,cbalaizot7@slideshare.net,Sales Activity,33
2024-05-03T09:12:18Z,Jaymie Moses,2024-03-01T22:41:25Z,"[1, 4, 4, 3, 9, 2, 0]",Good,aE73389B30A082dbBccDb01D,jmoses8@51.la,Sales Activity,23
2024-04-09T23:18:31Z,Towney Humberstone,2024-01-22T11:39:36Z,"[3, 7, 4, 6, 5, 2, 0]",Excellent,DeCCAc1dcb5C3766deFA7cA8,thumberstone9@networkadvertising.org,Sales Activity,27
2024-03-29T10:15:11Z,Fanchette Andover,2024-02-05T13:42:27Z,"[5, 2, 4, 4, 5, 3, 7]",Good,02F151DEA9De2EAAA5A97DdE,fandovera@cpanel.net,Sales Activity,30
2024-05-19T12:31:24Z,Nicol Francescozzi,2024-04-18T04:51:37Z,"[8, 2, 8, 9, 2, 5, 10]",Good,44aFEecEf82bBd2B84A1eDdB,nfrancescozzib@phoca.cz,BAU Activity,44
2024-05-23T18:17:24Z,Forester Elderidge,2024-05-18T22:02:44Z,"[2, 3, 0, 3, 8, 5, 3]",Poor,F6aBfBa5edF51a2FC2Bd7f2a,felderidgec@house.gov,Sales Activity,24
2024-01-19T18:58:16Z,Reggy Howie,2024-04-07T06:27:47Z,"[1, 4, 10, 6, 2, 4, 6]",Excellent,FA4ECa6cCeAeECfbaECEBCca,rhowied@chron.com,Sales Activity,33
2024-03-04T20:08:10Z,Turner Laise,2024-04-27T18:28:13Z,"[10, 8, 3, 2, 9, 1, 4]",Very Poor,6f9C7ccEE8C778FCAAC62FBE,tlaisee@go.com,BAU Activity,37
2024-01-11T11:50:53Z,Jsandye Dike,2024-04-10T23:42:34Z,"[7, 10, 7, 6, 8, 8, 0]",Average,78cbA21f6AaEcbA62FfdC5ED,jdikef@gizmodo.com,BAU Activity,46
2024-02-18T04:55:35Z,Felice Jepson,2024-04-09T16:33:28Z,"[7, 6, 1, 10, 5, 6, 9]",Excellent,E3ec20b802Bd80b02bBbf6Cf,fjepsong@artisteer.com,BAU Activity,44
2024-03-25T17:34:31Z,Tori Liggens,2024-01-15T00:38:39Z,"[9, 10, 3, 0, 4, 3, 8]",Very Poor,cDEcEaC4Cd21BbE9e42ef32A,tliggensh@ovh.net,Sales Activity,37
2024-04-13T22:57:36Z,Corella Balassa,2024-05-19T16:41:19Z,"[5, 8, 1, 10, 10, 1, 5]",Poor,B50aEFfBE3EBB65d8c6Eb7eC,cbalassai@shop-pro.jp,BAU Activity,40
2024-02-19T17:31:10Z,Shirleen Carl,2024-03-03T19:16:12Z,"[1, 0, 8, 2, 7, 1, 4]",Very Poor,C1DeCB16Ba4fFCb9Cf94F9Af,scarlj@photobucket.com,Sales Activity,23
2024-01-21T13:49:27Z,Bobbie Eyam,2024-05-02T10:10:15Z,"[10, 3, 4, 0, 2, 5, 7]",Poor,0F2eC49AfF99935CAf3BCa1D,beyamk@skype.com,BAU Activity,31
2024-01-13T05:27:58Z,Roarke Dayne,2024-02-24T16:33:20Z,"[0, 0, 7, 8, 7, 8, 10]",Very Poor,4cDf872DEDb212BBafFE0cFf,rdaynel@time.com,BAU Activity,40
2024-02-05T02:28:53Z,Wayne Novotne,2024-02-19T20:31:54Z,"[3, 3, 3, 10, 0, 5, 2]",Poor,Add5Af7AfAe7A1CB2ecFe5c8,wnovotnem@delicious.com,Sales Activity,26
2024-01-09T17:08:29Z,Haleigh Gretham,2024-04-17T22:45:48Z,"[6, 9, 9, 1, 8, 2, 6]",Excellent,C17A0eeEaEfB9Cff3aaBcbA0,hgrethamn@ehow.com,BAU Activity,41
2024-02-19T16:05:48Z,Loni Stones,2024-02-07T09:36:32Z,"[4, 4, 5, 9, 3, 0, 3]",Poor,DbeA3f978bAdCdAdeC8e2D07,lstoneso@pen.io,BAU Activity,28
2024-02-05T18:22:20Z,Kamila McAleese,2024-02-13T22:40:25Z,"[5, 10, 7, 1, 5, 6, 0]",Excellent,2eB8BcFCFfA4354BCB22B7EB,kmcaleesep@nymag.com,BAU Activity,34
2024-04-18T03:13:20Z,Georgie Maccari,2024-01-05T13:25:57Z,"[0, 6, 5, 8, 0, 1, 0]",Poor,1Cf8A79e304FD9d5EF5a22E4,gmaccariq@people.com.cn,BAU Activity,20
2024-05-26T08:58:09Z,Gae Janse,2024-02-15T06:55:44Z,"[3, 3, 1, 8, 6, 8, 6]",Poor,ae27EaaC7DDf0A0Bc2D2DfF3,gjanser@moonfruit.com,Sales Activity,35
2024-03-20T21:30:03Z,Marleen Bendin,2024-05-14T14:29:13Z,"[2, 9, 9, 3, 5, 10, 9]",Poor,BbbB1cf1dAbEfAF619BEDAea,mbendins@phpbb.com,BAU Activity,47
2024-02-28T03:00:36Z,Aime Faint,2024-01-18T00:35:39Z,"[6, 2, 0, 9, 7, 1, 7]",Excellent,285BBDAF9CADEED6b43d1Adc,afaintt@jimdo.com,BAU Activity,32
2024-04-03T14:00:07Z,Angil Bewshire,2024-04-14T21:57:08Z,"[8, 6, 5, 0, 3, 4, 2]",Poor,0d5839Be8AefFedAf436ebC5,abewshireu@lulu.com,Sales Activity,28
2024-04-11T02:42:14Z,Jodi Calrow,2024-03-11T09:30:26Z,"[3, 5, 3, 8, 10, 1, 9]",Good,A265Fcc2ccBDa5bb10671cDF,jcalrowv@mtv.com,BAU Activity,39
2024-01-08T11:15:04Z,Drugi Prescot,2024-01-13T06:46:29Z,"[4, 7, 2, 3, 0, 5, 4]",Good,3C3c3bdAD71F72DF1CBfCB9D,dprescotw@flavors.me,Sales Activity,25
2024-03-09T13:30:13Z,Rana Hearse,2024-02-10T12:53:50Z,"[4, 0, 5, 5, 4, 2, 2]",Good,d24f3F6d2f77038460f8FC29,rhearsex@jugem.jp,Sales Activity,22
2024-03-08T20:19:15Z,Gwyn Tremmil,2024-01-19T14:11:59Z,"[0, 3, 2, 1, 7, 1, 2]",Poor,d4f83AAF8E98EdFC8fc4FEAF,gtremmily@epa.gov,BAU Activity,16
2024-05-22T02:20:33Z,Audi Ensley,2024-01-11T03:04:04Z,"[4, 4, 9, 8, 4, 6, 5]",Very Poor,FbD9baEBb2bD2a2Cc2A3FcbF,aensleyz@pcworld.com,BAU Activity,40
2024-03-10T15:04:48Z,Kriste MacAlees,2024-05-19T01:01:10Z,"[9, 3, 9, 10, 9, 1, 0]",Excellent,8ceDaE4fEDde5cFf8Ece4b73,kmacalees10@bbb.org,Sales Activity,41
2024-03-26T04:17:04Z,Jule Kerry,2024-01-20T00:02:53Z,"[2, 5, 9, 7, 5, 2, 5]",Very Poor,Dde028CF6FEBAEa6DefcEd7b,jkerry11@jugem.jp,Sales Activity,35
2024-01-23T22:01:52Z,Nell Darlaston,2024-04-11T12:41:35Z,"[3, 4, 9, 1, 3, 7, 10]",Very Poor,FeEbd4CfDDc6DE2c98e606CB,ndarlaston12@tuttocitta.it,BAU Activity,37
2024-03-22T12:30:45Z,Mavra Zaple,2024-01-03T23:24:44Z,"[3, 6, 9, 9, 8, 1, 8]",Very Poor,3dFcEB6ca7EB9a3c6edA9a1b,mzaple13@businesswire.com,BAU Activity,44
2024-04-22T03:02:31Z,Weylin Fenton,2024-05-27T05:28:39Z,"[9, 10, 7, 9, 4, 0, 8]",Average,ae3C00ccd7D8f2f8D3fDB9ef,wfenton14@cbslocal.com,Sales Activity,47
2024-03-16T02:11:31Z,Hermy Dominec,2024-01-25T13:18:47Z,"[1, 8, 4, 5, 5, 4, 5]",Poor,0b37aAde5BbAA64d9Cc6FDAF,hdominec15@whitehouse.gov,BAU Activity,32
2024-05-31T11:08:16Z,Rowland Quinton,2024-01-25T20:37:22Z,"[7, 1, 3, 10, 0, 3, 1]",Good,5D207bcbf2bEcd216906f76a,rquinton16@imdb.com,BAU Activity,25
2024-03-16T03:57:04Z,Clary Gookes,2024-05-31T10:35:33Z,"[9, 6, 3, 7, 7, 7, 0]",Excellent,CfcEce9fe36EbcBcdCbabB9E,cgookes17@adobe.com,BAU Activity,39
2024-03-19T21:14:03Z,Danyette Avent,2024-05-04T07:33:13Z,"[2, 7, 5, 8, 3, 10, 4]",Poor,dcC0cd6AefeEF000D42ec497,davent18@craigslist.org,Sales Activity,39
2024-04-04T17:53:29Z,Clevey Tredget,2024-05-13T01:25:19Z,"[8, 0, 1, 7, 4, 2, 10]",Poor,3cEEE8C0cDf0c6ee8F6A1251,ctredget19@java.com,BAU Activity,32
2024-05-18T02:29:49Z,Micheil Hebburn,2024-04-22T04:59:26Z,"[10, 6, 9, 10, 0, 9, 0]",Poor,FbA81Da814F5DC60cfc0beb1,mhebburn1a@google.com.br,Sales Activity,44
2024-05-25T19:07:55Z,Ephrem Curreen,2024-03-30T15:07:53Z,"[4, 5, 4, 5, 10, 8, 3]",Average,97BBD2D5dDf2C3Cd54B3da3e,ecurreen1b@creativecommons.org,BAU Activity,39
2024-03-02T07:19:21Z,Hedi Dellenty,2024-02-08T13:26:00Z,"[5, 4, 5, 4, 6, 7, 7]",Good,ffdfc1D3B268F2c72Ae4AAE7,hdellenty1c@xrea.com,BAU Activity,38
2024-01-01T17:19:01Z,Selinda Faires,2024-05-22T00:14:32Z,"[8, 5, 10, 8, 7, 10, 0]",Very Poor,deDCBDFec880E7B86EE40f59,sfaires1d@economist.com,Sales Activity,48
2024-01-25T07:30:47Z,Trever Burchett,2024-04-08T09:50:42Z,"[2, 7, 7, 1, 6, 0, 0]",Very Poor,B0CdfAcc4ccFdABda62ffe3e,tburchett1e@amazon.com,Sales Activity,23
2024-02-11T08:16:14Z,Kimberlyn Haggith,2024-04-21T12:20:40Z,"[0, 2, 2, 1, 6, 3, 4]",Very Poor,D0dacAe1eeeD820d82BD0bB7,khaggith1f@gmpg.org,BAU Activity,18
